Time,Weight,Change,BMI,Body Fat,Skeletal Muscle Mass,Bone Mass,Body Water,
7:07 AM,299.2 lbs,0.6 lbs,42.9,--,--,--,--,
" May 9, 2024",
7:02 AM,299.8 lbs,1.3 lbs,43,--,--,--,--,
" May 7, 2024",
7:10 AM,301.1 lbs,0.4 lbs,43.2,--,--,--,--,
" May 6, 2024",
7:06 AM,300.7 lbs,0.4 lbs,43.1,--,--,--,--,
" May 5, 2024",
9:29 AM,300.3 lbs,1.1 lbs,43.1,--,--,--,--,
" May 3, 2024",
7:03 AM,301.4 lbs,1.7 lbs,43.2,--,--,--,--,
" May 2, 2024",
7:05 AM,303.1 lbs,0.4 lbs,43.5,--,--,--,--,
" May 1, 2024",
7:07 AM,302.7 lbs,4.2 lbs,43.4,--,--,--,--,
" Apr 30, 2024",
7:07 AM,306.9 lbs,1.7 lbs,44,--,--,--,--,
" Apr 29, 2024",
7:31 AM,308.6 lbs,8.8 lbs,44.3,--,--,--,--,
